Sample ID,Firmicutes_1.0,Firmicutes_2.0,Firmicutes_4.0,Firmicutes_5.0,Firmicutes_6.0,Firmicutes_7.0,Firmicutes_8.0,Firmicutes_9.0,Firmicutes_10.0,Proteobacteria_1.0,Proteobacteria_2.0,Proteobacteria_3.0,Proteobacteria_4.0,Proteobacteria_5.0,Proteobacteria_6.0,Proteobacteria_7.0,Proteobacteria_8.0,Proteobacteria_9.0,Proteobacteria_10.0,Actinobacteria_1.0,Actinobacteria_2.0,Actinobacteria_3.0,Actinobacteria_4.0,Actinobacteria_5.0,Actinobacteria_6.0,Actinobacteria_10.0,Tenericutes_3.0,Tenericutes_4.0,Tenericutes_5.0,Tenericutes_6.0,Tenericutes_7.0,Tenericutes_10.0,Bacteroidetes_1.0,Bacteroidetes_2.0,Bacteroidetes_3.0,Bacteroidetes_4.0,Bacteroidetes_7.0,Bacteroidetes_8.0,Bacteroidetes_9.0,Bacteroidetes_10.0,Armatimonadetes_8.0,Armatimonadetes_9.0,Armatimonadetes_10.0,Spirochaetes_7.0,Spirochaetes_8.0,Spirochaetes_9.0,Spirochaetes_10.0,Planctomycetes_9.0,Planctomycetes_10.0,Verrucomicrobia_10.0,Chloroflexi_10.0,Chrysiogenetes_10.0,Aquificae_10.0,Fusobacteria_1.0,Fusobacteria_2.0,Fusobacteria_7.0,Fusobacteria_8.0,Fusobacteria_9.0,Fusobacteria_10.0,Chlorobi_10.0,Gemmatimonadetes_9.0,Gemmatimonadetes_10.0,Synergistetes_7.0,Synergistetes_8.0,Synergistetes_10.0,Thermotogae_10.0,Candidatus.Bipolaricaulota_10.0,Candidatus.Saccharibacteria_4.0,Candidatus.Saccharibacteria_6.0,Candidatus.Saccharibacteria_10.0,Deinococcus.Thermus_10.0,Cyanobacteria_8.0,Cyanobacteria_9.0,Cyanobacteria_10.0,Deferribacteres_6.0,Deferribacteres_7.0,Deferribacteres_8.0,Deferribacteres_10.0,Dictyoglomi_10.0,Balneolaeota_10.0,Fibrobacteres_10.0,Chlamydiae_10.0,Acidobacteria_7.0,Acidobacteria_8.0,Acidobacteria_10.0,Kiritimatiellaeota_10.0,Nitrospirae_10.0,candidate.division.Zixibacteria_10.0,Thermodesulfobacteria_10.0,Fertil
UAB 17001,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UAB 17002,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
UAB 17003,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
UAB 17004,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UAB 17005,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
UAB 17006,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
UAB 17007,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
UAB 17008,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False
UAB 17009,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False
UAB 17010,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False
