Sample ID,Peptoniphilaceae,Staphylococcaceae,Campylobacteraceae,Prevotellaceae,Streptococcaceae,Lactobacillaceae,Veillonellaceae,Bacillaceae,Enterococcaceae,Enterobacteriaceae,Corynebacteriaceae,Burkholderiaceae,Propionibacteriaceae,Mycoplasmataceae,Moraxellaceae,Pasteurellaceae,Actinomycetaceae,Caulobacteraceae,Aerococcaceae,Rhodobacteraceae,Porphyromonadaceae,Oxalobacteraceae,Listeriaceae,Bradyrhizobiaceae,Comamonadaceae,Micrococcaceae,Neisseriaceae,Fusobacteriaceae,Pseudomonadaceae,Sphingomonadaceae,Peptostreptococcaceae,Clostridiaceae,Planococcaceae,Paenibacillaceae,Thermoactinomycetaceae,Bifidobacteriaceae,Tissierellaceae,Methylobacteriaceae,Weeksellaceae,Carnobacteriaceae,"Eubacteriales Family XIII, Incertae Sedis",Peptococcaceae,Synergistaceae,Steroidobacteraceae,Flavobacteriaceae,Dermabacteraceae,Lachnospiraceae,Selenomonadaceae,Intrasporangiaceae,Rhodocyclaceae,Sutterellaceae,Rhizobiaceae,Azospirillaceae,Eubacteriaceae,Treponemataceae,Oscillospiraceae,Chitinophagaceae,Roseobacteraceae,Phyllobacteriaceae,Microbacteriaceae,Xanthomonadaceae,Psychromonadaceae,Erwiniaceae,Hymenobacteraceae,Nocardiaceae,Leptotrichiaceae,Yersiniaceae,Alcaligenaceae,Chelatococcaceae,Coprobacillaceae,Atopobiaceae,Pseudonocardiaceae,Vibrionaceae,Morganellaceae,Pectobacteriaceae,Sinobacteraceae,Brucellaceae,Microcoleaceae,Mycobacteriaceae,Rubrobacteraceae,Armatimonadaceae,Nocardioidaceae,Bacteroidaceae,Oscillatoriaceae,Dermacoccaceae,Boseaceae,Brevibacteriaceae,Eggerthellaceae,Chromobacteriaceae,Xanthobacteraceae,Gottschalkiaceae,Dietziaceae,Gordoniaceae,Nostocaceae,Ectothiorhodospiraceae,Beijerinckiaceae,Candidatus Competibacteraceae,Micromonosporaceae,Trichocoleusaceae,Erythrobacteraceae,Hyphomicrobiaceae,Sporomusaceae,Gracilibacteraceae,Hydrogenophilaceae,Tsukamurellaceae,Sporolactobacillaceae,Nautiliaceae,Syntrophomonadaceae,Dermocarpellaceae,Cellvibrionaceae,Thermaceae,Thermomonosporaceae,Coriobacteriaceae,Coleofasciculaceae,Chromatiaceae,Alteromonadaceae,Streptomycetaceae,Aeromonadaceae,Thermohalobacteraceae,Nocardiopsaceae,Thermodesulfobiaceae,Rhodospirillaceae,Sneathiellaceae,Oceanospirillaceae,Calotrichaceae,Christensenellaceae,Hafniaceae,Devosiaceae,Bdellovibrionaceae,Streptosporangiaceae,Chroococcidiopsidaceae,Kribbellaceae,Halomonadaceae,Cellulomonadaceae,Demequinaceae,Azotobacter group,Kytococcaceae,Thalassospiraceae,Methylocystaceae,Tannerellaceae,Stappiaceae,Shewanellaceae,Fimbriimonadaceae,Cohaesibacteraceae,Thermosporotrichaceae,Catenulisporaceae,Geodermatophilaceae,Acidiferrobacteraceae,Microbulbiferaceae,Gomontiellaceae,Promicromonosporaceae,Maricaulaceae,Barnesiellaceae,Thiotrichaceae,Bogoriellaceae,Azonexaceae,Idiomarinaceae,Zoogloeaceae,Prochlorotrichaceae,Methylococcaceae,Rickettsiaceae,Methylophilaceae,Nitrosomonadaceae,Orbaceae,Halothiobacillaceae,Budviciaceae,Williamwhitmaniaceae,Geminicoccaceae,Prolixibacteraceae,Erysipelotrichaceae,Hyphomonadaceae,Bartonellaceae,Gloeobacteraceae,Kineosporiaceae,Pseudoalteromonadaceae,Aphanothecaceae,Piscirickettsiaceae,Phreatobacteraceae,Sphingobacteriaceae,Muribaculaceae,Thiobacillaceae,Scytonemataceae,Thermoanaerobacteraceae,Symphyonemataceae,Kaistiaceae,Acetobacteraceae,Dysgonomonadaceae,Amorphaceae,Aurantimonadaceae,Rhodobiaceae,Leptolyngbyaceae,"Thermoanaerobacterales Family III, Incertae Sedis","Eubacteriales Family XII, Incertae Sedis",Dermatophilaceae,Cryptosporangiaceae,Blastochloridaceae,Desulfobacteraceae,Glycomycetaceae,Helicobacteraceae,Endozoicomonadaceae,Myxococcaceae,Alicyclobacillaceae,Thioprofundaceae,Rikenellaceae,Parvularculaceae,Beutenbergiaceae,Sanguibacteraceae,Acaryochloridaceae,Lawsonellaceae,Ferrimonadaceae,Natranaerobiaceae,Saccharospirillaceae,Thalassobaculaceae,Granulosicoccaceae,Geobacteraceae,Wenzhouxiangellaceae,Haloplasmataceae,Ruaniaceae,Sterolibacteriaceae,Ornithinimicrobiaceae,Turicibacteraceae,Legionellaceae,Magnetococcaceae,Rhodothalassiaceae,Spirulinaceae,Synechococcaceae,Tolypothrichaceae,Pleomorphomonadaceae,Tepidamorphaceae,Colwelliaceae,Rhodanobacteraceae,Thioalkalibacteraceae,Parvibaculaceae,Rarobacteraceae,Sphingosinicellaceae,Desulfobulbaceae,Methylothermaceae,Fertil
UAB 17001,0.06450349999999999,0.19546519999999998,0.055707599999999996,14.8592651,4.3530102,0.0117279,2.3143081,0.0263878,4.7566458,72.24980450000001,0.0,0.005864,0.1270524,0.0,0.0,0.0019547,0.0156372,0.0,0.0,0.0,0.1075059,0.0,0.0039093,0.0,0.0,0.0850274,0.0,0.0,0.0068413,0.0,0.0,0.0,0.0087959,0.0009773,0.0,0.0,0.0,0.0,0.0048866000000000005,0.048866299999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267396,0.0,0.0,0.0,0.13389369999999998,0.0,0.0,0.0,0.0,0.0,0.1016419,0.1084832,0.1104378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009773,0.002932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048866000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019547,0.0,0.0,0.0,0.0,0.0,0.0,0.0009773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UAB 17002,19.5615204,4.8864828,0.0042515999999999995,5.0367053,7.8370793999999995,14.194609,0.7709532,2.9477623,0.20407580000000003,0.6703325,0.293359,7.0590402999999995,5.1784246,0.0,2.8839885,0.0014172,0.9495195999999999,8.5981123,0.0014172,0.0042515999999999995,0.0056688,3.2609619999999997,0.0014172,0.1473881,0.0056688,0.0,0.0,0.0,0.1941555,0.0,1.0118761,4.791530900000001,4.6441427,0.6405714,2.7706131,0.0,0.0,0.0,0.8914146,0.012754699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014172,0.0,0.1743148,0.0042515999999999995,0.0,0.3217029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042515999999999995,0.0,0.0,0.0,0.0014172,0.0014172,0.0,0.0,0.0,0.0099204,0.0028344,0.0028344,0.0014172,0.0,0.0014172,0.0,0.0014172,0.0,0.0,0.0028344,0.0,0.0,0.0,0.0014172,0.0,0.0,0.0014172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014172,0.0,0.0,0.0,0.0,0.0014172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UAB 17003,47.8680904,2.5193095,3.5798165,6.814605,13.1570664,0.0108956,9.8835379,0.0447931,0.009685,0.0,9.0760514,0.0036319000000000004,1.1149851,0.0,0.0,0.0036319000000000004,0.8208034,0.43945670000000003,0.0,0.0024212,0.0,0.0,0.0012106,0.0,0.0,0.0024212,0.16464489999999998,1.4926999,0.0,0.0,2.8703904999999996,0.0,0.0012106,0.0,0.0,0.0847437,0.0,0.0,0.0,0.0048425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024212,0.0,0.0,0.0,0.0,0.0012106,0.0,0.0,0.0,0.0,0.0,0.0,0.0048425,0.0,0.0,0.0,0.0,0.0,0.0,0.0012106,0.0,0.0,0.0012106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036319000000000004,0.0024212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012106,0.0,0.0,0.0,0.0,0.0012106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UAB 17004,20.986860399999998,0.0364989,0.0434511,1.7849694,29.5849555,0.0243326,6.7974833,0.0295467,0.12861509999999998,0.001738,1.8145161,1.3539348999999998,1.5955228,0.001738,13.8939099,1.4773359,0.5978865,0.0,0.0260706,0.8116656999999999,0.7021691,0.5579116000000001,0.0052141,0.6239572,0.001738,1.1384177,11.1617075,0.0,0.0034761,0.0,1.1123471,0.0208565,0.001738,0.001738,0.0034761,0.0,0.001738,0.0034761,0.0,0.8933537,0.21899329999999997,0.0,0.29372909999999997,0.0243326,0.0,0.0938543,0.5978865,0.6448136999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.3354422,0.0052141,0.0,0.001738,0.0052141,0.1703281,0.001738,0.0,0.0,0.0,0.0034761,0.10602059999999999,0.0,0.0,0.0,0.0,0.0,0.0052141,0.0,0.0,0.001738,0.0052141,0.0,0.0677836,0.0,0.0,0.0,0.0034761,0.0121663,0.038236900000000004,0.0034761,0.0,0.0191185,0.0,0.001738,0.0034761,0.0,0.0,0.0,0.0243326,0.0,0.0,0.0,0.0,0.0278087,0.0,0.0,0.001738,0.0034761,0.0,0.0,0.0,0.0,0.0,0.0104283,0.0,0.0,0.0,0.0,0.0086902,0.0,0.0,0.0,0.0,0.0,0.0069522,0.0,0.0,0.0,0.0,0.0069522,0.0052141,0.0,0.0,0.0,0.0,0.001738,0.001738,0.0,0.0,0.001738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001738,0.0,0.001738,0.0,0.0,0.0,0.0,0.0,0.001738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UAB 17005,69.7506759,0.4187797,3.8008234,0.47532379999999996,0.012369,0.014136,2.6293004,0.031806100000000004,2.9950701,18.1506547,0.0459421,0.003534,0.0494761,0.0,0.003534,0.0,0.8428604,0.0,0.1749333,0.005301,0.033573099999999995,0.001767,0.001767,0.021204,0.001767,0.0,0.0,0.0,0.003534,0.0,0.005301,0.005301,0.010602,0.001767,0.001767,0.0,0.1713993,0.0,0.0,0.0441751,0.033573099999999995,0.0424081,0.0,0.0,0.0,0.0,0.001767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015903,0.0,0.0,0.0,0.0,0.0,0.0,0.0459421,0.0,0.0,0.0,0.047709100000000004,0.0,0.0,0.0,0.001767,0.0,0.021204,0.031806100000000004,0.0353401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001767,0.0,0.001767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UAB 17006,69.8334201,8.0403199,0.0082817,0.0414084,1.7912072,1.1452369,0.1407884,0.1952108,0.0354929,0.0,8.8329942,1.4611235,1.603095,0.0,0.2922247,0.0,1.1748143,0.0,0.0047324,0.0,0.0,2.1449529,0.9015191,0.0,0.0189295,0.0094648,0.0,0.0,0.0,0.0,0.0165633,0.0035493,0.0047324,0.0070986,0.0,0.0011831,1.0127301,0.0,0.0,0.0082817,0.0047324,0.0,0.0295774,0.2401685,0.0,0.6790971,0.0,0.0,0.0011831,0.0,0.0,0.0,0.0,0.0011831,0.0,0.0,0.0,0.0,0.0,0.0,0.0070986,0.1301406,0.0,0.0,0.0331267,0.0,0.0,0.0023662,0.0,0.0,0.0,0.011831,0.0,0.0,0.0,0.0201126,0.0,0.0,0.0141972,0.0414084,0.0,0.0023662,0.0,0.0,0.0023662,0.0,0.0011831,0.0,0.0,0.0,0.0106479,0.0047324,0.0082817,0.0,0.0047324,0.0,0.0035493,0.0,0.0,0.0011831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011831,0.0,0.0,0.0,0.0,0.0023662,0.0,0.0011831,0.0,0.0011831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011831,0.0,0.0,0.0023662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011831,0.0,0.0,0.0011831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UAB 17007,47.4820871,0.0115567,27.6710389,0.24413500000000002,0.0028892,0.0072229,0.4174853,0.021668800000000002,0.0130013,0.0014446,0.3264764,0.0,1.7262799,0.0115567,0.0028892,0.0,0.9982087000000001,0.0057783,5.3175199,0.0,15.036692500000001,0.0,0.0014446,0.0028892,0.0,0.0,0.0,0.0144459,0.0,0.0,0.07222930000000001,0.010112099999999999,0.0028892,0.0130013,0.0,0.0,0.44637699999999997,0.0,0.0,0.040448399999999995,0.0028892,0.0086675,0.0231134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014446,0.0,0.0057783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028892,0.0014446,0.0,0.0,0.0,0.0,0.0,0.0028892,0.0,0.0,0.0,0.0,0.0,0.0,0.0057783,0.0,0.0,0.0043338,0.0057783,0.0,0.0,0.0,0.0,0.0014446,0.0,0.0,0.0115567,0.0014446,0.0,0.0,0.0,0.0,0.0,0.0043338,0.0,0.0,0.0014446,0.0014446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014446,0.0,0.0014446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014446,0.0,0.0,0.0014446,0.0,0.0,0.0,0.0,0.0014446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014446,0.0,0.0,0.0,0.0,0.0,0.0,0.0014446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UAB 17008,25.337996200000003,3.1083932,1.6020631,2.5379025,0.0136761,0.0058612000000000004,1.7407784,6.9709284,0.0312598,0.0078149,6.6485620999999995,16.1808378,0.7521882,0.0,0.34776490000000004,1.6489528,10.0539231,4.9449047,0.0820569,0.029306,0.0390747,0.5841668999999999,2.836824,1.6469991,7.662550799999999,0.0039075,0.0039075,0.7854017,0.0019537,0.0,0.0,0.011722400000000001,0.017583599999999998,3.2236636,0.0,0.0,0.20514219999999997,0.0019537,0.2832917,0.0058612000000000004,0.0586121,0.066427,0.0097687,0.2344483,0.0019537,0.0,0.0019537,0.0019537,0.0,0.0,0.0,0.023444800000000002,0.0019537,0.0019537,0.0,0.0332135,0.0,0.0,0.0078149,0.0019537,0.0078149,0.0019537,0.0,0.0,0.011722400000000001,0.0,0.0019537,0.0039075,0.0019537,0.0,0.0136761,0.0019537,0.0,0.0,0.0,0.029306,0.0,0.0,0.0058612000000000004,0.0,0.0,0.0,0.0,0.0,0.0019537,0.0019537,0.0,0.0312598,0.0019537,0.0,0.0019537,0.0,0.0,0.0,0.0019537,0.0,0.0078149,0.0019537,0.0,0.0,0.0019537,0.0,0.0019537,0.0,0.0039075,0.0,0.0136761,0.0058612000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0039075,0.0058612000000000004,0.0,0.0,0.0,0.0,0.0,0.0019537,0.0019537,0.0,0.0,0.0,0.0,0.0,0.0058612000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019537,0.0,0.0039075,0.0,0.0,0.0,0.0019537,0.0019537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019537,0.0,0.0019537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UAB 17009,54.2881817,6.254011600000001,0.3069239,1.1915182,5.4219327999999996,0.005835099999999999,5.7078505,0.1272042,0.011670100000000001,0.0,0.2765816,0.743386,12.7495945,0.0,1.3934111,0.0,0.051348500000000005,0.8729242,0.06185160000000001,0.0,0.0245072,6.5410963,0.0,3.2757997,0.004668,0.001167,0.0,0.0186722,0.002334,0.001167,0.0081691,0.001167,0.005835099999999999,0.0093361,0.0,0.042012400000000005,0.011670100000000001,0.0443464,0.0,0.004668,0.0,0.0198392,0.0,0.004668,0.0,0.0,0.0700207,0.0,0.0,0.001167,0.001167,0.002334,0.0,0.0,0.0,0.001167,0.0,0.0,0.002334,0.0,0.0,0.0,0.0,0.0,0.002334,0.0875258,0.0,0.0,0.12020209999999999,0.107365,0.0035009999999999998,0.0198392,0.0,0.0,0.0,0.0,0.0396784,0.0,0.002334,0.0,0.0,0.010503100000000001,0.0,0.0,0.0,0.0140041,0.0,0.002334,0.0,0.011670100000000001,0.0,0.0,0.0,0.0,0.0,0.0035009999999999998,0.0,0.001167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002334,0.0,0.0,0.0,0.0,0.0,0.0,0.002334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001167,0.0,0.001167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UAB 17010,14.7615084,0.0326629,0.0400384,2.053546,32.4115732,0.0416188,7.611501499999999,0.0326629,0.1443488,0.0005268,2.0856821,0.9187748000000001,0.5758147,0.0,15.300445700000001,1.7153273,0.6738033,0.0015804999999999999,0.017911899999999998,0.9572327,0.7944452,0.4820407,0.0015804999999999999,0.3287359,0.0010536,1.211687,12.0763047,0.0005268,0.0005268,0.0010536,1.3149438,0.0300288,0.0073755,0.006321800000000001,0.0005268,0.0,0.0026341,0.007902300000000001,0.0005268,1.0889378,0.2649907,0.0005268,0.3772034,0.0210728,0.0,0.1253833,0.6996175,0.7659969,0.0047414,0.0005268,0.0,0.0010536,0.0,0.0005268,0.4061785,0.0100096,0.0,0.0010536,0.0010536,0.16489479999999998,0.0026341,0.0,0.0005268,0.0,0.0005268,0.1185346,0.0010536,0.0010536,0.0,0.0,0.0,0.0042146,0.0010536,0.0010536,0.0,0.0010536,0.0005268,0.061111200000000004,0.0010536,0.0,0.0,0.0,0.0300288,0.0474138,0.0047414,0.0,0.0268678,0.0,0.006848699999999999,0.0010536,0.0,0.0,0.0005268,0.024760599999999997,0.0010536,0.0005268,0.0015804999999999999,0.0005268,0.007902300000000001,0.0,0.0,0.0036877,0.0052682,0.0,0.0005268,0.0,0.0005268,0.0,0.0094828,0.0,0.0,0.0015804999999999999,0.0,0.0073755,0.0010536,0.0010536,0.0,0.0,0.0,0.006848699999999999,0.0,0.0,0.0,0.0,0.0047414,0.0042146,0.0,0.0,0.0,0.0010536,0.007902300000000001,0.0,0.0,0.0005268,0.0005268,0.0,0.0005268,0.0,0.0,0.0,0.0,0.0005268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005268,0.0021073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005268,0.0,0.0,0.0015804999999999999,0.0,0.0,0.0010536,0.0,0.0,0.0,0.0,0.0005268,0.0005268,0.0005268,0.0021073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005268,0.0005268,0.0005268,0.0005268,0.0005268,0.0005268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
